date,city,substance,units,items
202102,Birmingham,Colecalciferol,3200,105.0
202102,Birmingham,Colecalciferol,400,1253.0
202102,Birmingham,Colecalciferol,4000,13.0
202102,Birmingham,Colecalciferol,40000,1.0
202102,Birmingham,Colecalciferol,440,7.0
202102,Birmingham,Colecalciferol,5000,2.0
202102,Birmingham,Colecalciferol,50000,476.0
202102,Birmingham,Colecalciferol,5600,6.0
202102,Birmingham,Colecalciferol,600,2.0
202102,Birmingham,Colecalciferol,800,3668.0
202102,Birmingham,Colecalciferol,880,236.0
202102,Birmingham,Colecalciferol,unknown,2035.0
202102,Brighton,Colecalciferol,200,15.0
202102,Brighton,Colecalciferol,20000,11.0
202102,Brighton,Colecalciferol,3000,1.0
202102,Brighton,Colecalciferol,3200,3.0
202102,Brighton,Colecalciferol,400,117.0
202102,Brighton,Colecalciferol,4000,12.0
202102,Brighton,Colecalciferol,440,3.0
202102,Brighton,Colecalciferol,800,39.0
202102,Brighton,Colecalciferol,unknown,55.0
202102,Bristol,Colecalciferol,1000,223.0
202102,Bristol,Colecalciferol,10000,5.0
202102,Bristol,Colecalciferol,200,651.0
202102,Bristol,Colecalciferol,2000,2.0
202102,Bristol,Colecalciferol,20000,53.0
202102,Bristol,Colecalciferol,2200,1.0
202102,Bristol,Colecalciferol,25000,61.0
202102,Bristol,Colecalciferol,2740,1.0
202102,Bristol,Colecalciferol,3000,4.0
202102,Bristol,Colecalciferol,3200,10.0
202102,Bristol,Colecalciferol,400,1205.0
202102,Bristol,Colecalciferol,40000,1.0
202102,Bristol,Colecalciferol,440,7.0
202102,Bristol,Colecalciferol,50000,24.0
202102,Bristol,Colecalciferol,800,1477.0
202102,Bristol,Colecalciferol,880,103.0
202102,Bristol,Colecalciferol,unknown,1309.0
202102,Canterbury,Colecalciferol,1000,208.0
202102,Canterbury,Colecalciferol,10000,4.0
202102,Canterbury,Colecalciferol,200,362.0
202102,Canterbury,Colecalciferol,2000,3.0
202102,Canterbury,Colecalciferol,20000,12.0
202102,Canterbury,Colecalciferol,2500,2.0
202102,Canterbury,Colecalciferol,25000,1.0
202102,Canterbury,Colecalciferol,3000,1.0
202102,Canterbury,Colecalciferol,3200,3.0
202102,Canterbury,Colecalciferol,400,543.0
202102,Canterbury,Colecalciferol,440,2.0
202102,Canterbury,Colecalciferol,5000,1.0
202102,Canterbury,Colecalciferol,800,255.0
202102,Canterbury,Colecalciferol,880,25.0
202102,Canterbury,Colecalciferol,unknown,526.0
202102,Exeter,Colecalciferol,1000,30.0
202102,Exeter,Colecalciferol,200,15.0
202102,Exeter,Colecalciferol,25000,1.0
202102,Exeter,Colecalciferol,400,12.0
202102,Exeter,Colecalciferol,800,12.0
202102,Exeter,Colecalciferol,880,138.0
202102,Exeter,Colecalciferol,unknown,88.0
202102,Leeds,Colecalciferol,1000,506.0
202102,Leeds,Colecalciferol,10000,10.0
202102,Leeds,Colecalciferol,200,148.0
202102,Leeds,Colecalciferol,2000,13.0
202102,Leeds,Colecalciferol,20000,149.0
202102,Leeds,Colecalciferol,2400,1.0
202102,Leeds,Colecalciferol,25000,43.0
202102,Leeds,Colecalciferol,3000,2.0
202102,Leeds,Colecalciferol,30000,1.0
202102,Leeds,Colecalciferol,3200,4.0
202102,Leeds,Colecalciferol,400,681.0
202102,Leeds,Colecalciferol,4000,2.0
202102,Leeds,Colecalciferol,40000,17.0
202102,Leeds,Colecalciferol,440,1.0
202102,Leeds,Colecalciferol,50000,11.0
202102,Leeds,Colecalciferol,800,361.0
202102,Leeds,Colecalciferol,880,9.0
202102,Leeds,Colecalciferol,unknown,582.0
202102,London,Colecalciferol,1000,23296.0
202102,London,Colecalciferol,10000,513.0
202102,London,Colecalciferol,15000,17.0
202102,London,Colecalciferol,200,16095.0
202102,London,Colecalciferol,2000,785.0
202102,London,Colecalciferol,20000,11062.0
202102,London,Colecalciferol,2200,63.0
202102,London,Colecalciferol,2400,104.0
202102,London,Colecalciferol,2500,61.0
202102,London,Colecalciferol,25000,2150.0
202102,London,Colecalciferol,2740,80.0
202102,London,Colecalciferol,3000,245.0
202102,London,Colecalciferol,30000,10.0
202102,London,Colecalciferol,300000,6.0
202102,London,Colecalciferol,3200,282.0
202102,London,Colecalciferol,400,41141.0
202102,London,Colecalciferol,4000,155.0
202102,London,Colecalciferol,40000,367.0
202102,London,Colecalciferol,440,227.0
202102,London,Colecalciferol,5000,352.0
202102,London,Colecalciferol,50000,50.0
202102,London,Colecalciferol,5600,12.0
202102,London,Colecalciferol,600,34.0
202102,London,Colecalciferol,800,21150.0
202102,London,Colecalciferol,880,1941.0
202102,London,Colecalciferol,unknown,37637.0
202102,Manchester,Colecalciferol,1000,371.0
202102,Manchester,Colecalciferol,10000,30.0
202102,Manchester,Colecalciferol,15000,1.0
202102,Manchester,Colecalciferol,200,3356.0
202102,Manchester,Colecalciferol,2000,22.0
202102,Manchester,Colecalciferol,20000,1500.0
202102,Manchester,Colecalciferol,2200,3.0
202102,Manchester,Colecalciferol,2400,3.0
202102,Manchester,Colecalciferol,25000,69.0
202102,Manchester,Colecalciferol,2740,7.0
202102,Manchester,Colecalciferol,3000,1.0
202102,Manchester,Colecalciferol,3200,63.0
202102,Manchester,Colecalciferol,400,2382.0
202102,Manchester,Colecalciferol,4000,25.0
