date,city,population
2021-04,Peterborough,216275
2021-05,Peterborough,216467
2021-06,Peterborough,216658
2021-07,Peterborough,216850
2021-08,Peterborough,217042
2021-09,Peterborough,217233
2021-10,Peterborough,217425
2021-11,Peterborough,217617
2021-12,Peterborough,217808
2022-01,Peterborough,218000
2022-02,Peterborough,218250
2022-03,Peterborough,218500
2022-04,Peterborough,218750
2022-05,Peterborough,219000
2022-06,Peterborough,219250
2022-07,Peterborough,219500
2022-08,Peterborough,219750
2022-09,Peterborough,220000
2022-10,Peterborough,220250
2022-11,Peterborough,220500
2022-12,Peterborough,220750
2023-01,Peterborough,221000
2023-02,Peterborough,221167
2023-03,Peterborough,221333
2023-04,Peterborough,221500
2023-05,Peterborough,221667
2023-06,Peterborough,221833
2023-07,Peterborough,222000
2023-08,Peterborough,222167
2023-09,Peterborough,222333
2023-10,Peterborough,222500
2023-11,Peterborough,222667
2023-12,Peterborough,222833
2024-01,Peterborough,223000
2024-02,Peterborough,223250
2024-03,Peterborough,223500
2024-04,Peterborough,223750
2024-05,Peterborough,224000
2024-06,Peterborough,224250
2024-07,Peterborough,224500
2024-08,Peterborough,224750
2024-09,Peterborough,225000
2024-10,Peterborough,225250
2024-11,Peterborough,225500
2024-12,Peterborough,225750
2025-12,Peterborough,226000
2021-01,Birmingham,1144900
2021-02,Birmingham,1145533
2021-03,Birmingham,1146167
2021-04,Birmingham,1146800
2021-05,Birmingham,1147433
2021-06,Birmingham,1148067
2021-07,Birmingham,1148700
2021-08,Birmingham,1149333
2021-09,Birmingham,1149967
2021-10,Birmingham,1150600
2021-11,Birmingham,1151233
2021-12,Birmingham,1151867
2022-01,Birmingham,1152500
2022-02,Birmingham,1153125
2022-03,Birmingham,1153750
2022-04,Birmingham,1154375
2022-05,Birmingham,1155000
2022-06,Birmingham,1155625
2022-07,Birmingham,1156250
2022-08,Birmingham,1156875
2022-09,Birmingham,1157500
2022-10,Birmingham,1158125
2022-11,Birmingham,1158750
2022-12,Birmingham,1159375
2023-01,Birmingham,1160000
2023-02,Birmingham,1160667
2023-03,Birmingham,1161333
2023-04,Birmingham,1162000
2023-05,Birmingham,1162667
2023-06,Birmingham,1163333
2023-07,Birmingham,1164000
2023-08,Birmingham,1164667
2023-09,Birmingham,1165333
2023-10,Birmingham,1166000
2023-11,Birmingham,1166667
2023-12,Birmingham,1167333
2024-01,Birmingham,1168000
2024-02,Birmingham,1168633
2024-03,Birmingham,1169267
2024-04,Birmingham,1169900
2024-05,Birmingham,1170533
2024-06,Birmingham,1171167
2024-07,Birmingham,1171800
2024-08,Birmingham,1172433
2024-09,Birmingham,1173067
2024-10,Birmingham,1173700
2024-11,Birmingham,1174333
2024-12,Birmingham,1174967
2025-12,Birmingham,1175600
2021-01,Leeds,812000
2021-02,Leeds,812667
2021-03,Leeds,813333
2021-04,Leeds,814000
2021-05,Leeds,814667
2021-06,Leeds,815333
2021-07,Leeds,816000
2021-08,Leeds,816667
2021-09,Leeds,817333
2021-10,Leeds,818000
2021-11,Leeds,818667
2021-12,Leeds,819333
2022-01,Leeds,820000
2022-02,Leeds,820667
2022-03,Leeds,821333
2022-04,Leeds,822000
2022-05,Leeds,822667
2022-06,Leeds,823333
2022-07,Leeds,824000
